"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2056","should create a user post for the created user","Tests for the creation of user posts & comments","Thu Nov 21 17:17:23 GMT 2024","passed","Thu Nov 21 17:17:25 GMT 2024","","","",""
"","335","POST create user should fail due to invalid bearer token","Create User tests","Thu Nov 21 17:17:30 GMT 2024","passed","Thu Nov 21 17:17:30 GMT 2024","","","",""
"","1779","Should create a user todo for the specified user","Tests for the creation and requesting user Todos","Thu Nov 21 17:17:28 GMT 2024","passed","Thu Nov 21 17:17:30 GMT 2024","","","",""
"","1766","PUT update user should update name of user","Create User tests","Thu Nov 21 17:17:28 GMT 2024","passed","Thu Nov 21 17:17:30 GMT 2024","","","",""
"","1266","Create user should create a new user","Create User tests","Thu Nov 21 17:17:23 GMT 2024","passed","Thu Nov 21 17:17:24 GMT 2024","","","",""
"","1","should request a created user todo ","Tests for the creation and requesting user Todos","Thu Nov 21 17:17:30 GMT 2024","passed","Thu Nov 21 17:17:30 GMT 2024","","","",""
"","1089","Should return list of users, default (10 per page) pagination","GET user list","Thu Nov 21 17:17:23 GMT 2024","passed","Thu Nov 21 17:17:24 GMT 2024","","","",""
"","3053","Deleting user should fail if invalid auth token","Create User tests","Thu Nov 21 17:17:33 GMT 2024","passed","Thu Nov 21 17:17:36 GMT 2024","","","",""
"","2033","Get unique user details should return expected user details","Create User tests","Thu Nov 21 17:17:24 GMT 2024","passed","Thu Nov 21 17:17:26 GMT 2024","","","",""
"","2717","should create a user comment for the created user comment","Tests for the creation of user posts & comments","Thu Nov 21 17:17:25 GMT 2024","passed","Thu Nov 21 17:17:28 GMT 2024","","","",""
"","2692","Deleting user should remove the created user","Create User tests","Thu Nov 21 17:17:30 GMT 2024","passed","Thu Nov 21 17:17:33 GMT 2024","","","",""
"","1548","Should return a filter list of 4 users, based on filtering by email","GET user list","Thu Nov 21 17:17:26 GMT 2024","passed","Thu Nov 21 17:17:28 GMT 2024","","","",""
"","1898","POST create user should fail due to already used email address","Create User tests","Thu Nov 21 17:17:26 GMT 2024","passed","Thu Nov 21 17:17:28 GMT 2024","","","",""
"","1239","Should return list of users, custom (20 per page) pagination","GET user list","Thu Nov 21 17:17:24 GMT 2024","passed","Thu Nov 21 17:17:25 GMT 2024","","","",""
"","1029","Should return a filter list of 4 users, based on filtering by name","GET user list","Thu Nov 21 17:17:25 GMT 2024","passed","Thu Nov 21 17:17:26 GMT 2024","","","",""
"","782","Should fail due to invalid bearer token","GET user list","Thu Nov 21 17:17:28 GMT 2024","passed","Thu Nov 21 17:17:29 GMT 2024","","","",""
